Year,Month_Num,Month,YearMonth,Count,Vehicle_Class
2014,11,November,2014-11,10497.0,Class 7
2014,11,November,2014-11,86152.0,Class 8
2014,11,November,2014-11,147897.0,Class 9
2014,12,December,2014-12,8866087.0,Class 1
2014,12,December,2014-12,12604.0,Class 11
2014,12,December,2014-12,227621.0,Class 2
2014,12,December,2014-12,69988.0,Class 3
2014,12,December,2014-12,55088.0,Class 4
2014,12,December,2014-12,242101.0,Class 5
2014,12,December,2014-12,5474.0,Class 6
2014,12,December,2014-12,10097.0,Class 7
2014,12,December,2014-12,90240.0,Class 8
2014,12,December,2014-12,157307.0,Class 9
2015,1,January,2015-01,7625157.0,Class 1
2015,1,January,2015-01,9818.0,Class 11
2015,1,January,2015-01,200279.0,Class 2
2015,1,January,2015-01,62247.0,Class 3
2015,1,January,2015-01,50425.0,Class 4
2015,1,January,2015-01,221026.0,Class 5
2015,1,January,2015-01,4794.0,Class 6
2015,1,January,2015-01,9278.0,Class 7
2015,1,January,2015-01,79386.0,Class 8
2015,1,January,2015-01,141330.0,Class 9
2015,2,February,2015-02,7164820.0,Class 1
2015,2,February,2015-02,8784.0,Class 11
2015,2,February,2015-02,197717.0,Class 2
2015,2,February,2015-02,59206.0,Class 3
2015,2,February,2015-02,47771.0,Class 4
2015,2,February,2015-02,208714.0,Class 5
2015,2,February,2015-02,4715.0,Class 6
2015,2,February,2015-02,8824.0,Class 7
2015,2,February,2015-02,75490.0,Class 8
2015,2,February,2015-02,136910.0,Class 9
2015,3,March,2015-03,8375383.0,Class 1
2015,3,March,2015-03,11651.0,Class 11
2015,3,March,2015-03,227895.0,Class 2
2015,3,March,2015-03,71848.0,Class 3
2015,3,March,2015-03,51908.0,Class 4
2015,3,March,2015-03,243467.0,Class 5
2015,3,March,2015-03,5714.0,Class 6
2015,3,March,2015-03,11346.0,Class 7
2015,3,March,2015-03,87412.0,Class 8
2015,3,March,2015-03,159993.0,Class 9
2015,4,April,2015-04,8759223.0,Class 1
2015,4,April,2015-04,20336.0,Class 11
2015,4,April,2015-04,229449.0,Class 2
2015,4,April,2015-04,74124.0,Class 3
2015,4,April,2015-04,54378.0,Class 4
2015,4,April,2015-04,248831.0,Class 5
2015,4,April,2015-04,5419.0,Class 6
2015,4,April,2015-04,12327.0,Class 7
2015,4,April,2015-04,88815.0,Class 8
2015,4,April,2015-04,164143.0,Class 9
2015,5,May,2015-05,9339810.0,Class 1
2015,5,May,2015-05,27980.0,Class 11
2015,5,May,2015-05,231730.0,Class 2
2015,5,May,2015-05,73483.0,Class 3
2015,5,May,2015-05,54080.0,Class 4
2015,5,May,2015-05,249834.0,Class 5
2015,5,May,2015-05,5448.0,Class 6
2015,5,May,2015-05,13484.0,Class 7
2015,5,May,2015-05,91836.0,Class 8
2015,5,May,2015-05,163128.0,Class 9
2015,6,June,2015-06,9098678.0,Class 1
2015,6,June,2015-06,24151.0,Class 11
2015,6,June,2015-06,243850.0,Class 2
2015,6,June,2015-06,78061.0,Class 3
2015,6,June,2015-06,56369.0,Class 4
2015,6,June,2015-06,257726.0,Class 5
2015,6,June,2015-06,5842.0,Class 6
2015,6,June,2015-06,13785.0,Class 7
2015,6,June,2015-06,91761.0,Class 8
2015,6,June,2015-06,167159.0,Class 9
2015,7,July,2015-07,9460923.0,Class 1
2015,7,July,2015-07,29025.0,Class 11
2015,7,July,2015-07,243208.0,Class 2
2015,7,July,2015-07,79791.0,Class 3
2015,7,July,2015-07,59188.0,Class 4
2015,7,July,2015-07,256286.0,Class 5
2015,7,July,2015-07,5661.0,Class 6
2015,7,July,2015-07,13899.0,Class 7
2015,7,July,2015-07,99626.0,Class 8
2015,7,July,2015-07,169579.0,Class 9
2015,8,August,2015-08,9694625.0,Class 1
2015,8,August,2015-08,31290.0,Class 11
2015,8,August,2015-08,236915.0,Class 2
2015,8,August,2015-08,75801.0,Class 3
2015,8,August,2015-08,57223.0,Class 4
2015,8,August,2015-08,246534.0,Class 5
2015,8,August,2015-08,5765.0,Class 6
2015,8,August,2015-08,14521.0,Class 7
2015,8,August,2015-08,95416.0,Class 8
2015,8,August,2015-08,163832.0,Class 9
2015,9,September,2015-09,8789765.0,Class 1
2015,9,September,2015-09,27356.0,Class 11
2015,9,September,2015-09,235952.0,Class 2
2015,9,September,2015-09,74160.0,Class 3
2015,9,September,2015-09,57901.0,Class 4
2015,9,September,2015-09,248203.0,Class 5
2015,9,September,2015-09,6002.0,Class 6
2015,9,September,2015-09,12804.0,Class 7
2015,9,September,2015-09,87860.0,Class 8
2015,9,September,2015-09,158282.0,Class 9
2015,10,October,2015-10,9111692.0,Class 1
2015,10,October,2015-10,21111.0,Class 11
2015,10,October,2015-10,246745.0,Class 2
2015,10,October,2015-10,77804.0,Class 3
2015,10,October,2015-10,59231.0,Class 4
2015,10,October,2015-10,255430.0,Class 5
2015,10,October,2015-10,6180.0,Class 6
2015,10,October,2015-10,15166.0,Class 7
2015,10,October,2015-10,95713.0,Class 8
2015,10,October,2015-10,163951.0,Class 9
2015,11,November,2015-11,8803018.0,Class 1
2015,11,November,2015-11,17034.0,Class 11
2015,11,November,2015-11,222738.0,Class 2
2015,11,November,2015-11,71343.0,Class 3
2015,11,November,2015-11,53129.0,Class 4
2015,11,November,2015-11,235449.0,Class 5
2015,11,November,2015-11,5457.0,Class 6
2015,11,November,2015-11,14100.0,Class 7
2015,11,November,2015-11,86229.0,Class 8
2015,11,November,2015-11,151965.0,Class 9
2015,12,December,2015-12,9092927.0,Class 1
2015,12,December,2015-12,14958.0,Class 11
2015,12,December,2015-12,233939.0,Class 2
2015,12,December,2015-12,73397.0,Class 3
2015,12,December,2015-12,56152.0,Class 4
2015,12,December,2015-12,246618.0,Class 5
2015,12,December,2015-12,6292.0,Class 6
2015,12,December,2015-12,13402.0,Class 7
2015,12,December,2015-12,89076.0,Class 8
2015,12,December,2015-12,160580.0,Class 9
2016,1,January,2016-01,7829619.0,Class 1
2016,1,January,2016-01,10138.0,Class 11
2016,1,January,2016-01,204466.0,Class 2
2016,1,January,2016-01,67086.0,Class 3
2016,1,January,2016-01,49256.0,Class 4
2016,1,January,2016-01,216851.0,Class 5
2016,1,January,2016-01,4975.0,Class 6
2016,1,January,2016-01,11875.0,Class 7
2016,1,January,2016-01,76766.0,Class 8
2016,1,January,2016-01,141807.0,Class 9
